Defisiensi Nutrisi,Deskripsi Singkat,Fase Pertumbuhan Padi,Gejala Kekurangan,Metode Pengendalian,Produk Nutrisi yang Direkomendasikan
Nitrogen,Nitrogen penting untuk pertumbuhan vegetatif dan pembentukan klorofil.,Vegetatif,Daun menguning dan pertumbuhan terhambat.,Penggunaan pupuk urea atau amonium nitrat.,"Urea, Amonium Nitrat"
Fosfor,Fosfor penting untuk pembentukan akar dan perkembangan bunga.,Pembentukan Akar,Pertumbuhan akar terhambat dan daun berwarna ungu.,Penggunaan pupuk superfosfat atau fosfat alam.,"Superfosfat, Fosfat Alam"
Kalium,Kalium penting untuk regulasi air dan enzim dalam tanaman.,Pembentukan Bunga,Daun menguning di tepi dan pertumbuhan terhambat.,Penggunaan pupuk kalium sulfat atau kalium klorida.,"Kalium Sulfat, Kalium Klorida"
Kalsium,Kalsium penting untuk kekuatan dinding sel dan pertumbuhan akar.,Pembentukan Buah,Daun muda menggulung dan pertumbuhan akar terhambat.,Penggunaan kapur pertanian atau kalsium nitrat.,"Kapur Pertanian, Kalsium Nitrat"
Magnesium,Magnesium adalah komponen utama klorofil dan penting untuk fotosintesis.,Vegetatif,Daun menguning di antara tulang daun.,Penggunaan dolomit atau magnesium sulfat.,"Dolomit, Magnesium Sulfat"
Sulfur,Sulfur penting untuk sintesis protein dan enzim.,Pembentukan Akar,Daun muda menguning dan pertumbuhan terhambat.,Penggunaan pupuk sulfat atau amonium sulfat.,"Sulfat, Amonium Sulfat"
Zinc,Zinc penting untuk sintesis hormon dan enzim.,Pembentukan Bunga,Daun muda berwarna kuning dan pertumbuhan terhambat.,Penggunaan pupuk zinc sulfat atau zinc oksida.,"Zinc Sulfat, Zinc Oksida"
Boron,Boron penting untuk pembelahan sel dan perkembangan dinding sel.,Pembentukan Buah,Daun muda berwarna coklat dan pertumbuhan terhambat.,Penggunaan pupuk boraks atau borat.,"Boraks, Borat"
Tembaga,Tembaga penting untuk fotosintesis dan respirasi.,Vegetatif,Daun muda berwarna hijau gelap dan pertumbuhan terhambat.,Penggunaan pupuk tembaga sulfat atau tembaga oksida.,"Tembaga Sulfat, Tembaga Oksida"
Mangan,Mangan penting untuk fotosintesis dan metabolisme nitrogen.,Pembentukan Akar,Daun muda berwarna kuning dan pertumbuhan terhambat.,Penggunaan pupuk mangan sulfat atau mangan oksida.,"Mangan Sulfat, Mangan Oksida"
Besi,Besi penting untuk sintesis klorofil dan fungsi enzim.,Vegetatif,Daun muda menguning dan pertumbuhan terhambat.,Penggunaan pupuk besi sulfat atau besi chelate.,"Besi Sulfat, Besi Chelate"
Molibdenum,Molibdenum penting untuk fiksasi nitrogen dan metabolisme sulfur.,Pembentukan Akar,Daun muda berwarna kuning dan pertumbuhan terhambat.,Penggunaan pupuk molibdenum atau molibdat.,"Molibdenum, Molibdat"
Klorin,Klorin penting untuk fotosintesis dan keseimbangan ion.,Pembentukan Bunga,Daun muda berwarna hijau pucat dan pertumbuhan terhambat.,Penggunaan pupuk klorin atau kalium klorida.,"Klorin, Kalium Klorida"
Nikel,Nikel penting untuk metabolisme nitrogen dan enzim urease.,Pembentukan Buah,Daun muda berwarna kuning dan pertumbuhan terhambat.,Penggunaan pupuk nikel sulfat atau nikel oksida.,"Nikel Sulfat, Nikel Oksida"
Kobalt,Kobalt penting untuk fiksasi nitrogen dan sintesis vitamin B12.,Vegetatif,Daun muda berwarna hijau gelap dan pertumbuhan terhambat.,Penggunaan pupuk kobalt sulfat atau kobalt klorida.,"Kobalt Sulfat, Kobalt Klorida"
Silikon,Silikon penting untuk kekuatan dinding sel dan ketahanan terhadap hama.,Pembentukan Akar,Daun muda berwarna coklat dan pertumbuhan terhambat.,Penggunaan pupuk silikon atau silikat.,"Silikon, Silikat"
Sodium,Sodium penting untuk keseimbangan ion dan osmoregulasi.,Pembentukan Bunga,Daun muda berwarna hijau pucat dan pertumbuhan terhambat.,Penggunaan pupuk sodium atau natrium klorida.,"Sodium, Natrium Klorida"
Vanadium,Vanadium penting untuk metabolisme nitrogen dan enzim tertentu.,Pembentukan Buah,Daun muda berwarna kuning dan pertumbuhan terhambat.,Penggunaan pupuk vanadium atau vanadat.,"Vanadium, Vanadat"
Kromium,Kromium penting untuk metabolisme karbohidrat dan lipid.,Vegetatif,Daun muda berwarna hijau gelap dan pertumbuhan terhambat.,Penggunaan pupuk kromium atau kromat.,"Kromium, Kromat"
Litium,Litium penting untuk pertumbuhan dan perkembangan tanaman.,Pembentukan Akar,Daun muda berwarna kuning dan pertumbuhan terhambat.,Penggunaan pupuk litium atau litium klorida.,"Litium, Litium Klorida"
